website,socialmedia,contact
60,43,300
63,278,225
238,29,248
384,159,195
125,153,260
310,11,22
140,266,206
166,96,151
133,13,100
341,123,263
58,217,198
66,39,267
171,204,271
74,86,40
283,92,281
121,171,287
109,249,32
102,218,263
59,127,76
104,141,50
39,187,180
91,33,53
322,62,144
217,299,68
87,35,279
353,207,170
181,40,26
190,280,142
287,102,86
123,284,283
350,164,244
372,170,46
143,232,259
49,218,296
209,240,12
287,33,249
19,163,88
5,109,263
205,177,76
168,71,163
234,217,58
218,88,226
392,234,223
230,274,62
347,271,261
162,292,81
252,73,124
161,233,7
342,208,271
219,127,133
8,156,130
229,132,177
273,206,242
89,207,203
141,102,271
298,15,238
189,147,201
187,155,86
108,228,252
398,242,22
95,227,96
158,87,68
40,225,275
122,299,80
123,243,268
298,13,226
6,122,31
179,98,189
162,86,225
288,255,290
204,56,117
392,129,46
170,25,290
52,217,199
212,14,62
379,237,125
77,180,222
227,46,106
214,107,45
131,275,135
17,144,286
349,214,131
199,241,288
226,266,111
277,130,291
22,1,108
67,287,283
390,134,182
163,52,67
141,237,146
232,159,17
52,159,231
69,37,119
314,271,125
254,103,71
166,166,237
142,166,287
385,90,199
259,16,260
390,294,297
95,56,264
381,26,98
168,231,15
311,77,157
277,234,204
292,109,17
6,157,203
244,193,262
115,183,168
324,174,138
323,40,88
343,9,44
53,86,175
317,75,43
332,96,125
307,149,97
208,297,34
243,95,295
93,291,132
336,27,215
281,217,232
281,187,294
315,145,156
252,137,136
366,189,197
230,192,207
399,195,22
287,14,86
139,164,142
352,171,105
116,161,263
364,290,180
383,79,183
299,108,9
15,146,204
369,2,178
322,117,131
191,226,22
95,99,224
208,46,262
52,255,161
124,21,300
306,147,30
62,102,220
351,185,257
272,177,148
95,132,144
232,90,185
32,248,69
150,179,101
116,177,266
71,86,148
268,47,289
241,57,53
387,62,281
394,17,107
168,218,76
70,210,13
256,219,130
257,211,220
150,14,180
265,300,164
47,115,61
41,227,220
58,169,191
112,295,248
109,202,192
267,182,210
146,170,249
395,143,175
259,129,112
98,242,187
245,269,234
92,85,3
91,148,96
149,284,76
80,223,146
222,126,82
386,144,119
62,196,72
220,101,294
29,144,4
132,298,271
186,296,43
241,130,51
326,91,40
100,47,283
176,207,268
367,51,119
393,251,293
50,118,85
212,261,300
371,38,243
367,35,142
311,81,67
82,247,29
11,62,109
131,78,164
126,67,117
131,152,204
387,237,116
41,263,171
206,244,68
195,80,28
210,44,32
277,227,20
92,57,95
120,89,91
108,91,238
331,172,296
177,295,145
78,41,273
386,101,144
25,90,164
126,222,48
123,238,151
44,250,185
310,276,116
218,253,57
192,62,202
102,175,98
210,276,145
192,177,213
374,161,116
135,289,44
122,14,152
37,9,19
133,65,115
223,238,126
160,285,220
285,175,221
324,264,129
375,5,58
11,233,173
126,246,22
214,257,102
392,135,67
374,253,267
101,160,264
214,201,192
151,112,182
167,135,142
294,42,237
250,75,54
385,44,110
219,19,150
326,201,219
173,134,217
112,235,110
248,166,267
190,133,163
359,156,255
175,209,213
72,239,110
87,34,255
306,70,104
258,36,85
96,115,61
173,125,238
217,173,229
223,19,285
111,51,148
89,9,218
360,36,188
14,192,136
31,278,92
87,41,114
328,162,224
83,169,161
381,228,259
53,233,206
120,91,58
233,235,1
297,117,210
34,268,292
250,47,105
296,283,60
314,234,286
382,272,253
286,47,130
324,63,276
370,146,224
304,83,98
229,181,206
271,129,210
2,41,196
226,152,116
237,294,144
164,81,115
265,140,169
55,18,181
281,140,209
11,104,188
163,86,58
131,185,178
186,170,41
8,205,2
241,264,112
35,283,152
18,87,107
1,242,32
208,45,161
109,146,216
132,240,191
339,104,144
249,285,24
310,200,116
118,80,213
339,129,69
320,273,243
301,103,297
45,162,168
64,54,3
129,251,257
393,81,223
56,140,86
25,194,136
372,35,278
337,45,94
350,101,189
216,235,70
247,71,81
33,235,6
232,159,176
113,239,250
13,181,183
39,249,214
131,242,167
168,7,100
281,236,67
168,272,139
387,36,213
158,199,230
361,72,242
19,96,23
170,229,292
144,294,187
14,76,108
287,110,292
133,175,28
47,61,169
136,247,203
128,192,205
207,197,108
381,181,223
249,90,245
12,64,285
185,284,214
395,240,294
271,21,157
180,97,182
110,269,33
113,220,278
273,160,75
53,141,142
18,287,270
277,178,91
144,200,105
35,258,65
202,293,198
252,185,101
102,116,49
250,80,221
232,97,297
388,115,157
190,269,201
277,292,179
194,168,50
370,268,250
158,156,182
125,45,93
41,116,47
280,24,86
216,197,83
255,75,162
54,248,41
39,209,236
185,63,151
343,158,97
262,82,299
238,163,207
129,244,217
368,220,28
336,213,101
87,108,124
217,213,133
217,81,282
57,137,209
66,183,256
309,245,260
14,277,58
151,145,143
223,119,128
326,111,75
128,289,177
195,95,79
25,122,56
251,179,216
27,78,210
213,164,146
178,86,299
260,290,102
211,164,164
170,150,202
271,158,262
395,134,120
217,284,73
104,128,145
262,13,188
233,287,283
36,100,227
354,74,140
295,286,56
254,133,226
349,209,137
289,138,256
335,182,129
30,144,227
271,3,122
123,5,36
220,266,20
129,180,281
263,47,194
239,171,102
325,276,174
121,214,221
277,294,177
108,35,35
146,156,127
94,59,177
304,59,294
132,181,191
152,107,243
388,205,113
148,60,129
210,194,50
208,111,54
169,157,233
361,182,285
259,213,33
79,17,222
348,53,50
217,104,39
228,71,134
249,197,208
30,102,244
4,103,173
52,110,91
89,93,239
312,281,187
84,69,51
270,189,242
200,181,239
360,252,185
183,166,265
316,49,273
36,134,223
158,217,47
16,285,9
343,233,17
88,80,53
288,171,280
347,25,142
380,114,131
207,193,262
252,206,110
172,37,238
229,25,190
324,193,61
117,186,184
98,100,9
213,43,29
81,227,189
12,65,35
180,280,40
240,116,42
82,230,248
206,78,298
48,49,190
205,240,83
172,92,267
285,128,28
365,283,265
168,255,175
73,126,110
74,61,300
134,232,223
60,20,75
217,115,163
385,129,67
84,284,218
350,220,277
278,293,114
29,95,43
150,205,277
13,144,211
192,240,248
109,261,160
124,225,32
322,260,150
57,285,7
24,287,299
271,80,237
331,57,38
116,7,20
345,150,179
79,129,63
75,215,18
112,214,213
264,111,161
377,233,27
249,146,60
42,50,232
338,165,231
180,95,228
182,19,271
147,79,287
68,254,297
93,163,26
85,260,167
261,265,41
236,283,103
282,58,291
52,57,215
243,29,111
2,35,218
297,185,161
294,278,165
386,296,83
152,90,75
281,243,12
343,27,189
265,19,1
25,125,100
399,44,267
20,1,263
30,70,155
16,76,284
119,77,90
235,118,23
288,9,242
305,6,243
152,241,197
174,113,92
107,271,233
41,96,90
181,97,202
198,42,48
341,77,225
27,162,249
29,251,42
210,258,269
303,200,56
93,205,121
290,46,239
300,83,84
150,62,131
348,187,129
5,232,73
30,37,117
346,50,49
320,283,282
268,184,250
311,164,235
116,276,39
28,208,71
50,271,151
228,47,87
370,258,42
122,246,226
133,25,7
42,166,58
276,104,125
330,213,223
399,57,188
134,84,255
206,60,44
10,75,132
184,97,297
268,4,158
121,176,300
379,151,36
156,173,286
366,43,186
179,262,125
273,77,139
136,85,175
184,279,220
337,84,11
382,163,144
189,29,266
208,239,65
112,46,158
308,264,54
60,44,64
213,121,112
337,146,129
116,119,161
239,231,247
382,32,240
19,252,250
275,163,143
206,113,280
241,18,86
199,245,288
301,39,46
139,238,32
89,248,69
40,256,14
389,57,82
82,226,245
330,37,18
358,110,64
134,20,17
169,300,45
393,298,249
364,204,189
198,61,173
73,113,60
179,215,246
121,265,255
370,198,288
252,264,47
142,37,228
116,282,1
102,61,241
203,67,243
362,121,176
242,128,143
380,230,62
73,127,128
320,194,69
394,98,218
347,114,68
121,283,168
82,121,133
149,87,85
316,198,183
305,288,162
73,19,255
142,298,71
358,207,31
201,211,118
193,27,8
296,273,245
216,213,123
92,131,92
159,67,183
317,258,260
43,1,149
153,23,41
360,203,163
2,267,265
66,258,193
398,109,294
396,52,273
17,212,281
346,191,68
52,20,229
300,247,225
27,169,296
116,204,130
272,214,253
175,83,219
361,201,74
37,101,237
124,140,150
361,131,4
74,284,187
232,155,85
106,228,209
222,44,93
151,141,199
278,77,145
256,124,247
245,110,247
387,42,151
236,197,259
295,176,186
146,55,211
274,16,135
219,198,163
352,224,35
78,169,246
79,52,251
246,48,68
28,22,14
306,46,88
113,109,85
289,172,35
56,266,272
189,100,88
191,234,22
10,178,210
315,125,133
251,194,242
331,103,133
332,265,109
9,113,257
153,7,129
141,256,62
123,81,246
184,297,253
391,80,171
275,147,69
19,119,261
182,105,255
269,71,5
283,137,171
163,201,134
36,267,240
296,242,59
358,176,73
209,178,155
96,75,39
339,184,205
234,237,142
159,121,291
47,68,248
122,67,205
366,222,3
187,10,89
232,281,160
155,284,198
313,125,295
61,241,50
96,82,7
218,7,29
222,116,289
250,91,44
97,151,209
330,129,148
260,125,107
160,284,29
93,193,239
399,102,136
56,258,73
215,88,12
17,284,294
26,163,76
320,138,20
282,111,223
264,98,210
157,152,14
250,5,295
245,234,65
62,276,110
369,113,103
358,12,38
304,174,239
208,250,191
109,17,191
126,140,225
378,273,211
202,129,147
236,118,51
13,24,110
41,228,130
119,144,74
153,214,173
126,120,176
348,211,125
190,240,172
61,89,155
193,22,283
177,289,57
301,19,5
282,192,249
300,220,300
81,273,113
152,211,193
33,3,83
1,284,141
182,88,235
357,270,131
147,60,198
183,10,169
278,238,219
25,196,300
1,68,104
173,110,277
274,157,213
258,73,106
151,92,171
335,249,298
177,172,19
294,186,41
387,96,72
236,284,11
213,235,22
312,7,104
104,1,41
198,199,192
287,263,298
339,58,132
223,115,213
354,181,17
211,73,88
138,68,133
100,260,13
134,153,151
280,222,152
264,242,150
117,153,183
224,202,198
322,270,92
303,242,223
255,97,11
8,260,274
357,194,126
319,32,270
388,46,45
113,136,293
351,226,175
355,115,116
40,266,214
302,219,11
288,15,218
235,204,207
90,20,265
50,282,219
62,72,17
276,194,204
264,133,96
239,41,52
319,1,128
388,229,256
366,232,15
56,119,155
318,122,125
312,282,15
112,282,125
118,229,49
203,91,89
19,118,149
63,225,27
26,22,298
163,213,165
127,274,139
183,150,138
100,89,120
186,17,143
150,132,143
125,71,113
306,119,103
187,137,33
139,218,133
351,25,11
163,36,53
141,18,75
265,254,292
263,281,106
399,194,199
14,94,104
4,102,286
240,63,25
390,206,17
313,282,274
127,73,148
39,110,277
123,6,177
136,161,75
237,114,29
305,280,82
382,267,271
192,112,183
346,82,105
44,165,204
331,112,180
278,89,283
83,61,29
316,96,86
61,185,265
319,5,40
364,7,61
321,44,185
361,277,120
179,275,229
146,118,9
127,154,126
15,84,250
307,146,288
198,33,300
325,10,236
186,181,280
92,146,296
216,239,280
1,39,29
337,115,13
229,60,74
288,247,133
229,84,66
180,119,166
105,207,155
233,132,48
143,121,20
171,124,273
5,227,272
305,32,287
31,286,190
93,96,55
207,143,252
270,103,148
151,91,150
61,84,168
125,99,254
367,25,242
107,11,180
275,136,35
65,281,15
398,84,200
395,278,178
96,237,278
371,206,297
209,114,270
383,256,15
283,216,105
129,189,247
119,226,103
7,264,28
249,87,34
298,12,1
24,123,192
322,177,227
107,113,186
235,2,120
347,11,51
385,247,219
361,136,155
324,117,98
289,164,22
53,282,49
243,50,50
361,260,141
56,5,235
247,75,275
360,95,195
146,52,209
182,70,24
110,196,146
77,45,185
233,16,85
262,144,227
260,94,5
32,253,22
182,140,161
270,220,110
173,237,297
331,107,296
96,259,273
64,274,5
114,167,227
85,18,35
86,194,46
323,103,94
149,280,4
157,139,152
250,235,97
106,130,126
349,227,202
201,241,226
278,215,77
60,4,271
377,55,223
385,98,191
81,254,40
240,242,236
344,289,235
38,155,39
94,92,291
61,126,18
314,165,219
301,261,20
149,261,288
19,89,289
21,162,192
287,234,68
218,239,153
201,47,178
118,150,186
189,54,104
203,209,155
369,267,51
151,253,250
90,185,107
297,28,192
21,214,100
28,234,90
221,117,101
245,268,159
171,99,180
318,206,252
275,114,203
190,212,94
354,172,91
360,216,287
386,223,116
125,16,191
277,210,260
333,34,202
325,92,135
244,268,45
309,241,197
337,200,261
111,145,238
254,213,88
53,154,211
227,216,293
371,165,103
169,121,293
79,276,42
349,229,231
200,30,142
67,239,159
141,35,120
40,106,267
88,190,291
135,250,275
114,274,67
103,184,299
115,149,49
56,253,220
357,91,89
307,34,25
365,71,201
120,269,158
215,267,56
264,228,180
186,188,156
362,198,136
259,285,58
30,258,43
268,247,174
383,176,95
299,178,29
318,252,231
52,241,254
120,141,19
147,206,10
85,54,294
42,221,80
98,241,91
190,179,282
183,297,180
42,292,196
349,300,24
278,49,130
122,12,49
307,124,53
89,132,12
359,59,123
32,236,206
144,162,134
21,235,62
273,93,160
209,110,6
56,54,41
206,225,77
277,250,73
271,272,203
191,184,10
320,153,215
174,108,211
126,63,249
132,145,254
380,96,56
385,69,122
28,134,224
61,89,36
163,252,35
265,107,263
385,249,178
253,102,296
51,229,215
84,237,54
195,147,279
209,11,220
131,167,283
48,163,92
393,138,239
222,129,106
353,224,236
126,85,33
252,243,171
165,151,256
214,100,97
213,147,290
29,52,236
279,73,113
329,258,82
257,154,190
81,135,277
283,111,262
285,163,267
39,184,221
131,61,254
391,62,150
237,173,183
212,113,32
49,276,59
355,158,171
158,54,235
325,113,279
245,86,153
237,111,184
60,196,131
35,296,233
14,102,290
12,271,210
186,26,46
271,124,188
193,33,104
370,56,234
91,241,151
374,107,40
181,55,105
104,46,7
244,150,160
384,20,107
375,299,135
20,32,15
71,128,141
17,36,136
42,119,30
38,211,184
206,224,88
40,12,272
229,264,24
282,82,184
320,7,161
194,260,258
375,288,192
282,266,200
291,293,223
169,118,276
82,298,193
135,258,138
262,200,277
169,54,200
136,184,207
85,199,130
387,149,27
102,75,130
322,115,112
129,143,223
298,26,240
93,44,129
264,22,33
319,231,162
33,125,274
332,185,140
218,141,197
57,124,247
226,262,131
301,87,120
145,131,197
304,164,262
230,162,192
358,191,5
283,120,73
379,111,244
400,71,192
221,16,225
182,263,129
208,225,150
60,70,170
90,20,30
145,111,293
17,161,63
91,277,284
218,113,86
302,107,64
322,48,14
251,49,150
146,133,125
378,1,187
78,294,43
110,268,266
123,11,25
43,179,4
62,248,96
37,125,220
255,83,276
14,116,78
88,146,174
177,37,268
289,210,100
69,16,91
352,22,13
309,224,289
90,100,89
134,51,277
76,119,278
206,147,223
375,2,85
204,291,247
96,228,160
265,248,17
68,107,297
309,152,183
95,158,169
136,280,65
104,74,91
248,169,36
66,251,166
329,161,268
378,27,93
57,300,36
388,279,91
261,14,116
299,173,123
247,192,19
122,23,19
176,281,200
120,75,178
269,158,101
268,281,31
290,74,116
124,160,218
28,242,1
213,72,118
168,142,137
237,126,113
1,157,82
41,239,253
254,123,246
213,260,99
71,112,173
50,134,111
132,112,293
232,280,81
14,83,15
265,229,243
270,197,128
380,91,97
248,39,33
339,46,211
339,203,202
152,117,249
85,71,239
208,103,133
286,49,266
281,141,225
384,21,248
210,178,181
49,140,49
54,147,241
203,215,150
63,291,123
275,159,203
71,170,40
49,23,229
169,179,198
230,85,144
197,246,32
213,187,237
289,202,130
276,165,264
46,64,299
228,33,250
118,118,267
364,16,42
27,102,100
349,62,255
380,62,277
298,69,200
69,199,272
331,261,276
165,128,76
227,244,268
232,232,100
15,273,20
197,210,283
339,161,279
298,165,102
185,255,111
380,12,251
178,144,57
74,250,267
177,273,100
295,91,49
65,242,9
63,94,158
154,110,259
217,268,35
345,249,262
63,128,141
84,164,15
262,117,1
26,214,231
226,224,261
77,191,171
359,284,162
195,268,13
47,47,227
16,234,71
198,255,139
259,16,219
305,123,68
353,140,200
124,73,277
226,253,66
375,112,246
115,202,164
42,63,172
150,298,248
120,174,22
55,255,96
204,233,218
21,101,177
165,131,31
144,263,210
85,277,172
63,258,1
142,110,265
36,243,121
241,59,286
106,192,256
168,124,222
296,95,3
251,279,278
19,289,22
220,142,111
326,123,67
347,118,145
149,133,64
290,186,61
160,145,197
398,207,102
398,40,51
267,115,237
289,76,109
39,35,23
250,70,58
103,153,103
350,86,264
329,64,189
274,285,6
70,66,220
181,17,245
50,237,76
185,236,274
152,234,271
151,114,192
306,74,158
230,134,181
69,91,285
92,83,103
43,51,239
109,23,189
214,30,200
178,75,131
27,192,242
246,21,279
180,149,178
362,183,21
318,219,234
214,129,121
25,19,254
54,125,43
284,34,164
37,56,277
390,68,57
154,68,224
276,112,56
219,247,170
187,262,9
64,200,284
10,293,131
63,85,267
356,180,283
146,135,32
239,275,215
150,87,296
63,280,112
366,150,260
191,223,109
376,193,158
95,103,1
237,256,152
229,228,174
259,265,40
96,137,105
126,283,160
282,28,271
378,134,167
77,93,93
369,135,281
93,42,58
254,252,63
390,196,119
306,173,71
329,96,102
384,132,107
64,68,150
129,36,107
186,286,281
1,58,55
299,165,277
156,12,80
342,279,12
262,2,132
317,56,199
180,129,211
351,148,58
185,127,243
392,259,198
317,63,72
343,221,166
180,90,164
59,89,194
102,162,46
374,247,118
158,22,174
129,228,232
79,152,112
396,175,219
378,130,202
40,149,69
240,180,91
343,176,58
143,282,71
238,103,299
150,128,256
272,124,74
270,69,248
128,82,242
39,189,114
198,201,273
297,162,151
284,151,136
84,54,102
33,110,270
110,91,239
296,84,275
195,258,10
26,270,256
110,49,20
55,149,2
336,63,54
232,270,71
18,205,186
277,30,100
58,62,272
71,272,144
163,77,118
7,134,155
226,57,211
102,243,116
329,81,73
168,120,56
313,242,144
185,242,28
354,150,27
240,8,93
10,275,52
45,279,167
193,55,60
191,86,267
189,166,163
81,283,118
201,93,80
202,89,111
307,145,97
179,77,156
315,62,206
42,295,217
99,281,126
40,166,174
324,233,289
121,244,275
301,179,202
247,164,191
248,215,283
45,134,64
236,194,83
183,20,201
148,195,298
224,173,60
397,19,82
28,235,294
33,163,189
2,79,99
310,116,95
337,135,102
356,223,286
147,138,285
168,146,47
396,6,168
280,41,249
77,39,185
345,122,198
283,127,288
338,286,205
89,244,44
306,196,70
153,257,111
316,157,168
223,29,187
157,7,140
229,251,42
85,117,275
323,296,158
347,50,255
47,196,49
159,201,143
263,75,216
145,98,229
232,93,283
163,11,290
268,127,267
36,73,119
69,276,264
129,236,127
233,156,294
3,35,227
187,115,149
398,219,20
44,157,199
360,218,65
133,160,103
99,265,5
137,274,128
216,10,145
65,174,235
322,266,22
123,203,286
101,89,144
107,194,69
321,120,206
167,104,213
64,74,92
110,12,171
138,192,190
258,285,261
260,185,147
353,214,122
299,38,197
378,102,126
391,294,33
184,200,123
398,199,118
15,282,145
112,222,176
8,12,278
370,174,282
227,212,67
203,29,22
288,144,166
162,77,72
57,60,177
143,66,80
301,265,92
210,181,67
175,117,273
225,194,106
164,76,83
320,99,15
110,292,44
191,248,58
109,3,219
257,78,73
279,296,6
375,129,9
393,150,254
36,232,109
235,149,125
227,104,184
387,117,254
359,241,72
280,186,123
30,160,240
220,80,85
255,59,21
157,46,112
107,249,209
347,229,15
168,181,138
285,23,161
265,153,67
355,136,8
387,1,94
57,1,230
54,271,226
44,179,150
310,46,57
33,29,175
145,111,234
68,179,22
85,157,139
308,237,100
183,230,105
366,156,281
376,176,270
370,244,80
316,108,29
152,117,254
115,167,207
118,48,111
91,211,166
325,136,2
135,111,142
312,208,273
369,213,157
201,51,117
231,259,61
44,141,247
79,165,218
13,33,20
308,152,198
365,123,116
283,111,237
35,293,56
206,128,201
299,81,219
254,30,264
252,92,223
336,179,68
147,176,202
321,167,76
114,230,249
362,82,287
387,81,21
188,88,58
250,82,137
326,55,57
47,218,164
138,181,273
32,167,217
291,245,229
161,36,111
296,2,43
374,128,298
64,168,227
102,81,299
56,290,102
47,75,62
234,231,89
134,28,96
98,133,78
138,276,192
298,236,99
34,253,5
97,181,105
297,82,297
225,277,77
16,23,188
205,19,25
288,101,27
177,31,37
366,171,223
353,275,224
291,201,121
128,48,253
176,141,185
385,131,83
251,58,78
74,57,52
108,6,152
9,5,21
182,179,174
232,98,132
187,205,168
62,281,174
259,61,294
161,106,35
283,19,237
11,294,122
314,177,86
122,191,55
33,166,194
2,86,183
65,21,232
32,106,270
215,112,294
241,174,22
65,89,12
304,33,297
253,191,29
294,132,74
23,273,44
113,281,291
71,246,236
348,218,56
57,296,72
321,25,281
128,273,241
243,298,257
24,144,57
237,175,107
371,210,88
175,237,239
212,24,16
357,259,128
47,123,167
338,26,90
97,278,249
383,159,103
229,262,83
4,241,271
280,245,195
40,259,61
385,267,276
372,153,277
308,118,124
351,281,288
155,148,195
376,56,280
321,133,104
302,70,81
319,58,140
139,122,274
271,172,273
355,237,266
174,118,110
201,77,286
79,168,135
105,162,126
192,269,33
115,155,138
317,204,175
72,96,259
298,112,263
327,128,299
155,89,235
159,192,265
41,298,237
108,87,202
230,62,17
103,51,233
79,129,141
39,160,232
352,10,109
242,74,127
137,143,242
318,133,60
125,150,181
276,190,190
342,101,269
170,268,209
199,209,195
42,96,289
301,298,139
133,238,144
55,174,114
262,242,56
365,257,289
365,145,237
81,11,251
333,131,185
378,143,204
340,37,112
384,24,256
165,207,183
328,160,156
38,145,238
24,91,272
306,285,300
200,168,16
245,23,233
193,245,157
32,77,211
396,250,206
214,229,213
351,223,300
14,233,181
227,74,200
57,265,47
170,200,158
367,156,177
181,11,151
375,201,203
196,211,25
193,142,244
3,270,147
186,7,278
111,128,131
99,290,287
338,238,42
195,163,183
122,37,164
154,85,201
152,96,147
333,103,297
85,249,99
258,117,74
289,98,234
400,101,209
215,123,91
182,300,276
111,5,150
312,43,15
230,69,277
218,121,160
292,248,121
104,183,109
99,157,146
135,33,158
265,208,196
211,194,236
14,32,60
316,264,35
380,99,204
246,276,41
146,161,258
248,228,156
304,133,280
309,106,265
233,266,97
367,41,187
140,102,71
373,12,178
145,115,127
57,220,152
309,57,200
65,66,7
388,292,228
64,274,102
253,153,205
126,186,248
142,178,46
34,114,273
299,214,28
209,146,255
86,103,90
390,45,92
69,88,45
283,139,55
73,115,165
352,285,285
384,225,92
128,23,55
374,103,105
110,21,268
316,182,251
53,28,183
384,142,183
213,206,235
390,166,257
394,203,159
308,2,130
138,56,31
252,103,112
325,275,23
309,189,271
50,154,300
34,9,216
138,160,40
196,162,138
99,37,115
371,207,33
329,243,180
20,124,49
265,125,196
198,244,199
100,139,219
318,44,46
72,145,280
16,38,28
215,97,94
131,147,22
144,3,187
148,110,264
12,248,113
192,47,139
385,298,235
41,12,241
130,183,71
194,228,256
178,273,10
363,289,49
130,70,272
233,167,35
388,98,150
19,91,252
79,236,287
251,252,222
294,70,211
352,286,241
55,250,122
131,13,158
86,274,136
264,290,4
92,192,166
359,23,147
38,271,155
32,154,102
6,157,229
216,108,59
84,51,105
175,254,250
378,8,74
116,183,133
323,63,145
19,200,182
17,219,232
18,251,263
9,268,179
382,15,266
121,277,2
201,202,171
83,51,152
341,77,12
353,149,81
333,159,11
65,259,121
335,57,186
80,26,206
231,42,51
9,37,49
131,134,89
9,274,10
274,226,152
241,61,106
61,218,83
378,182,60
332,224,87
119,244,140
370,10,261
159,272,291
399,131,182
217,202,266
171,155,235
181,249,24
59,224,104
213,282,290
288,5,4
97,134,225
251,133,50
334,72,266
72,300,3
197,30,268
36,36,173
183,14,85
247,290,210
346,266,27
330,164,172
331,96,84
395,295,197
337,200,46
391,296,276
393,63,243
148,201,244
355,198,270
114,58,221
121,76,241
180,281,177
290,100,69
64,110,240
341,31,170
28,251,111
13,254,25
344,88,106
1,94,39
34,40,298
15,213,227
296,46,215
129,286,120
269,47,283
133,91,9
323,74,164
149,181,292
2,223,185
127,230,259
385,106,191
247,31,277
318,172,276
117,136,264
305,233,127
319,1,203
128,71,195
161,107,261
343,295,101
292,295,134
106,223,11
344,104,269
342,214,272
36,95,41
62,243,87
156,56,286
184,165,88
221,252,125
29,18,259
15,38,286
391,33,41
315,50,114
392,190,275
188,200,274
257,200,230
79,60,25
35,123,141
114,271,215
21,175,142
44,51,68
117,66,196
203,58,174
58,72,121
247,200,17
168,139,294
119,186,217
16,31,63
5,116,182
155,15,116
393,4,209
179,47,93
1,170,99
382,24,52
388,129,243
336,175,177
265,20,17
290,76,181
244,264,170
223,93,6
323,192,25
57,213,108
335,249,95
22,218,57
118,118,273
196,62,40
213,83,193
309,185,188
206,114,239
130,152,191
38,134,289
199,1,150
112,137,227
215,112,201
293,22,117
86,291,226
398,167,110
218,232,80
132,149,274
262,71,252
347,71,122
203,170,217
247,59,135
372,240,118
172,89,251
35,196,266
97,294,19
256,247,181
6,160,58
234,135,257
238,271,36
222,20,242
210,230,197
304,203,53
232,60,279
255,71,200
303,237,14
368,259,261
245,110,206
390,102,67
1,159,284
304,143,63
400,49,10
161,151,168
200,118,170
118,185,153
263,224,109
283,151,235
357,218,28
109,109,136
208,110,111
231,152,175
385,76,260
121,22,100
58,187,101
334,24,73
107,107,175
160,40,85
323,215,156
331,8,6
104,104,93
251,11,36
298,211,78
298,182,284
82,274,50
24,217,30
154,250,251
312,182,221
393,192,162
19,82,17
61,54,76
95,244,147
328,222,193
1,238,130
254,207,18
119,161,65
180,168,192
386,79,170
141,150,121
223,31,168
184,12,132
28,172,178
341,36,176
243,257,35
114,146,82
391,280,272
218,243,283
400,9,189
142,17,208
103,116,183
179,236,272
74,8,275
245,159,64
255,145,161
141,84,262
164,168,287
104,190,270
319,32,268
130,118,170
208,121,127
302,257,98
66,120,236
221,63,234
218,175,94
353,189,249
286,256,195
249,40,195
101,86,136
381,259,53
57,165,126
188,102,214
232,262,114
395,235,17
213,59,279
284,216,67
189,203,143
337,82,192
127,70,153
319,81,1
218,237,164
170,135,67
67,79,216
353,205,3
168,135,245
245,20,60
278,151,157
29,195,227
393,154,24
126,271,251
155,188,124
152,21,165
253,109,270
5,233,292
52,231,123
274,241,283
238,266,67
54,202,205
52,150,262
94,270,144
201,234,109
194,43,261
47,31,43
77,266,153
38,266,168
145,135,89
341,58,183
241,239,32
369,211,108
148,57,293
338,55,226
91,238,33
72,254,84
364,244,67
322,268,61
316,145,244
364,205,80
340,17,242
90,122,238
340,83,83
370,179,273
144,289,36
341,92,127
296,99,207
236,33,158
292,166,294
270,119,193
311,253,208
64,236,93
75,73,90
276,212,73
36,260,109
272,43,162
24,77,77
305,246,75
183,215,205
205,93,99
49,185,136
343,37,267
219,164,190
248,179,138
15,148,292
310,29,221
271,60,256
288,19,248
280,265,259
279,151,161
123,165,5
102,148,34
48,223,118
56,285,43
136,64,194
373,205,105
174,73,10
133,152,157
395,109,92
130,135,35
106,1,183
158,281,74
392,100,86
388,92,170
390,40,135
243,174,128
137,156,152
272,148,247
216,226,21
94,250,43
65,284,104
248,107,174
156,168,205
250,286,214
3,108,193
362,85,56
387,96,171
222,152,127
237,274,40
275,120,110
264,128,49
262,132,180
29,233,150
352,220,94
197,159,144
324,19,37
381,53,140
166,300,64
138,180,24
267,10,160
266,36,81
285,299,21
328,98,75
357,148,157
362,218,109
94,168,64
28,118,209
251,115,55
264,270,36
27,238,253
155,247,207
32,267,3
69,189,69
216,79,250
178,94,63
171,75,124
367,68,295
344,214,35
16,217,216
241,154,62
170,153,63
246,240,94
381,199,130
106,15,102
179,10,91
144,154,23
145,86,9
235,277,208
185,35,283
288,162,300
135,280,268
374,283,153
251,8,64
168,187,255
308,149,298
242,237,285
262,174,216
166,230,297
47,146,290
128,297,113
93,162,171
113,175,158
286,282,290
202,119,138
84,92,273
337,56,172
334,38,41
335,174,214
10,216,242
137,31,254
219,33,87
65,223,208
294,222,105
52,71,241
317,120,196
9,162,174
339,257,16
156,283,25
231,108,199
38,290,40
132,137,284
325,154,137
345,157,42
91,142,146
366,33,110
214,179,230
250,292,200
361,42,91
320,228,276
250,70,177
384,22,147
138,255,153
19,221,266
89,79,117
387,209,124
359,53,249
350,148,158
58,55,231
382,184,120
299,269,21
250,244,23
345,145,5
80,61,232
359,204,78
295,148,238
63,79,147
215,163,235
385,177,270
245,10,182
49,23,246
66,97,148
222,122,299
