age,gender,city,branch,mention,tuition,school,competence,socialmedia,website,contact,wage,costliving,rural,INTEREST
22,1,8,1,3,30000,2,3,14,23,7,12683,2045,0,0
23,2,3,1,3,30000,5,2,25,26,6,5142,2140,1,1
24,2,8,1,1,30000,11,4,6,18,29,4471,2601,0,1
20,2,2,1,3,30000,48,2,11,10,19,10867,2573,1,0
25,1,8,1,4,30000,15,2,31,12,22,5986,2400,0,1
21,2,8,1,4,30000,5,3,17,17,6,4553,2989,0,0
19,2,6,1,3,30000,22,3,15,10,17,11372,2212,1,1
19,2,7,1,3,30000,7,2,14,21,31,7146,2943,0,1
21,1,6,1,2,30000,25,1,26,15,5,9413,2526,1,0
26,2,2,1,3,30000,51,1,28,5,18,14020,2914,1,1
21,1,7,1,2,30000,29,2,32,13,34,13123,2272,0,0
24,2,4,1,3,30000,56,3,10,23,15,6348,2779,0,0
23,1,3,1,2,30000,52,1,24,7,19,3369,1956,1,0
18,2,5,1,2,30000,38,3,23,8,11,14432,1870,1,1
25,1,3,1,2,30000,40,1,5,4,13,13252,2228,1,1
23,2,4,1,2,30000,20,1,33,4,15,6403,2786,1,1
23,2,6,1,1,30000,45,3,28,18,18,9811,2365,0,0
23,1,7,1,3,30000,43,1,17,5,31,12676,2139,0,1
24,2,1,1,4,30000,31,3,15,17,5,14096,2723,0,0
20,1,7,1,4,30000,8,4,11,23,29,6346,2912,0,1
22,1,7,1,4,30000,39,3,28,4,2,14578,2883,0,0
23,1,7,1,3,30000,22,3,21,1,11,7336,2576,1,0
24,2,7,1,1,30000,30,2,27,24,21,9720,2035,0,0
20,2,8,1,1,30000,19,2,2,33,3,13897,2604,1,0
25,2,2,1,1,30000,53,1,6,13,1,10346,2756,1,1
25,2,4,1,3,30000,38,2,26,3,10,7623,2542,1,1
25,2,4,1,1,30000,31,3,4,16,17,12393,2222,0,1
19,1,2,1,4,30000,4,3,6,9,5,3949,2837,1,0
22,1,4,1,4,30000,29,2,25,26,5,3325,2945,1,0
24,2,2,1,1,30000,29,3,14,12,22,4116,2951,0,0
22,1,7,1,2,30000,34,2,6,29,28,11337,2166,1,1
26,2,6,1,3,30000,36,2,15,27,33,12867,2325,0,0
21,2,2,1,4,30000,55,2,27,2,28,3837,2710,0,1
23,1,8,1,4,30000,55,1,7,27,11,3852,2475,0,0
19,2,1,1,4,30000,36,1,31,14,31,5997,2162,0,1
24,2,6,1,3,30000,42,3,25,33,21,8033,2084,1,1
24,1,2,1,4,30000,48,4,28,31,10,11170,2652,0,0
22,1,5,1,4,30000,21,3,24,30,34,12249,2705,0,0
18,1,4,1,2,30000,5,1,12,24,20,14590,2934,1,0
20,1,6,1,1,30000,39,1,5,2,15,6418,2118,0,0
22,2,3,1,3,30000,54,1,14,1,5,3822,2209,1,0
25,2,7,1,4,30000,16,1,16,21,17,10915,2815,0,0
19,1,6,1,2,30000,4,1,12,14,1,11031,2003,1,1
19,2,3,1,3,30000,8,2,31,32,14,8454,2798,1,1
21,1,6,1,2,30000,23,3,4,2,3,7322,2217,0,0
20,2,2,1,4,30000,1,2,31,13,13,11309,2046,0,0
21,2,7,1,4,30000,6,1,23,19,16,10300,2735,0,0
21,2,2,1,4,30000,37,4,8,27,11,5032,2149,1,1
24,2,7,1,2,30000,22,4,2,27,7,10292,2079,1,0
22,2,4,1,4,30000,17,1,6,7,14,3057,2776,1,1
24,1,1,1,4,30000,47,1,23,1,25,5013,1933,0,1
20,2,8,1,2,30000,6,3,7,6,34,8967,2913,0,1
23,2,2,1,1,30000,1,2,15,13,24,6701,1882,1,0
20,1,7,1,2,30000,38,1,12,25,16,11532,2773,1,1
25,1,1,1,2,30000,43,3,13,19,1,7304,2629,0,0
20,2,1,1,3,30000,1,2,30,27,13,10618,1986,0,1
19,2,3,1,4,30000,55,3,2,33,4,9771,2863,1,0
18,2,3,1,4,30000,29,3,22,3,13,8241,2851,0,0
25,1,6,1,3,30000,19,2,32,30,9,4979,2795,0,0
21,1,4,1,2,30000,46,2,7,20,24,8213,2310,1,1
26,1,7,1,2,30000,24,3,22,16,23,14943,2895,0,1
26,1,2,1,2,30000,37,4,12,22,32,4370,2294,0,1
18,2,7,1,1,30000,26,3,7,23,3,9473,2676,1,1
22,1,3,1,4,30000,40,2,22,30,23,4068,2656,1,1
26,1,8,1,2,30000,47,2,27,12,8,8198,2500,1,0
26,2,5,1,2,30000,9,3,10,14,22,14929,2480,1,1
23,2,7,1,3,30000,6,1,29,10,8,6832,2636,0,0
22,2,6,1,3,30000,17,1,6,1,7,12693,2227,0,1
18,2,6,1,1,30000,13,1,27,27,27,12857,2281,1,1
18,2,2,1,1,30000,43,1,23,17,22,6354,1805,0,0
21,2,3,1,2,30000,43,1,28,22,10,12005,1950,1,1
19,1,3,1,3,30000,11,3,6,17,9,6910,2882,1,1
21,1,3,1,1,30000,35,4,30,12,11,13572,1983,1,1
23,2,7,1,3,30000,53,2,5,10,19,7754,2583,1,0
22,2,7,1,2,30000,17,3,23,33,1,14302,2391,0,0
24,2,3,1,4,30000,1,2,28,13,29,9129,2691,0,1
22,1,7,1,1,30000,3,1,13,16,23,6092,2965,1,0
26,2,6,1,2,30000,36,3,32,4,20,7104,2542,1,0
26,1,1,1,3,30000,20,4,22,11,15,4894,2774,1,1
19,1,3,1,1,30000,51,3,4,13,33,11077,2198,1,0
26,1,2,1,3,30000,25,1,13,13,14,11629,2185,0,0
24,2,8,1,2,30000,42,3,20,14,25,7088,2234,0,0
18,1,3,1,1,30000,49,1,4,5,4,11513,2218,0,1
25,1,3,1,3,30000,14,2,29,23,12,5381,2617,1,0
24,1,6,1,3,30000,33,3,2,3,9,12647,2919,1,1
20,1,5,1,1,30000,56,3,22,23,11,12575,2675,0,1
19,1,5,1,3,30000,37,4,16,7,31,3117,2982,0,1
23,2,2,1,3,30000,38,4,17,2,2,7375,2930,1,1
23,1,8,1,3,30000,7,3,3,9,30,11661,1855,0,1
20,2,8,1,3,30000,42,3,21,15,18,3725,2104,0,0
21,1,5,1,4,30000,13,1,22,23,27,13351,1828,1,1
25,1,3,1,2,30000,55,1,10,31,3,13924,1949,1,1
21,2,4,1,3,30000,9,2,17,28,17,13014,2046,0,0
18,1,7,1,4,30000,51,4,32,6,16,13204,2910,0,1
20,2,4,1,4,30000,3,1,9,6,18,3912,1832,0,0
21,2,6,1,4,30000,48,4,26,2,9,13717,2770,1,1
20,1,1,1,4,30000,5,2,14,23,12,14540,2978,1,1
22,2,4,1,3,30000,54,3,27,1,22,10516,2995,0,0
20,2,3,1,4,30000,12,2,12,6,34,7654,2734,1,1
21,2,7,1,4,30000,50,4,26,2,5,12780,2652,1,0
26,2,1,1,1,30000,43,3,18,22,30,9760,2867,0,0
24,2,3,1,4,30000,39,3,31,5,23,6073,2519,1,1
19,2,5,1,2,30000,15,2,23,5,31,6729,2535,0,1
24,1,2,1,2,30000,6,3,9,25,6,12174,2214,1,1
21,2,4,1,3,30000,12,1,7,32,33,4526,2698,0,0
25,1,4,1,2,30000,26,3,4,30,21,5514,2168,1,1
19,2,6,1,1,30000,39,1,16,28,14,8373,2856,1,1
20,2,1,1,1,30000,44,3,19,30,20,13574,2307,0,1
24,1,4,1,1,30000,37,1,25,1,2,14583,2672,0,0
20,1,4,1,4,30000,43,2,23,15,21,14253,2745,0,1
21,1,6,1,3,30000,52,3,10,14,17,5460,2021,1,0
24,1,7,1,2,30000,27,1,1,6,14,10553,2350,0,0
23,2,7,1,1,30000,41,1,3,2,15,11537,2462,0,0
22,2,8,1,2,30000,51,3,20,9,26,9751,1961,0,0
21,1,1,1,4,30000,26,4,19,9,21,12102,1830,1,1
25,2,8,1,3,30000,7,2,32,17,34,14479,2862,0,1
23,1,5,1,4,30000,34,3,21,33,10,14202,2760,1,0
19,1,2,1,3,30000,37,4,20,11,19,11892,2105,1,1
25,2,1,1,1,30000,21,2,31,13,21,9850,2005,0,0
26,1,8,1,4,30000,38,3,14,7,6,11495,2446,0,0
22,2,1,1,2,30000,56,4,28,28,28,7188,1998,1,0
22,1,1,1,2,30000,21,2,20,21,4,6955,2638,0,0
23,2,1,1,1,30000,13,3,21,7,30,14908,2143,1,1
26,2,5,1,1,30000,5,1,29,6,28,14412,2773,0,1
26,2,5,1,3,30000,10,1,31,6,8,12841,2769,0,1
18,1,5,1,2,30000,52,1,4,5,15,14170,2047,1,1
21,1,2,1,4,30000,5,2,29,24,19,11588,2104,1,0
24,2,5,1,4,30000,37,4,15,6,25,7693,1886,0,0
22,2,1,1,4,30000,14,3,4,4,14,13764,2948,0,1
24,2,5,1,3,30000,38,4,21,31,18,8557,2864,1,1
23,1,5,1,2,30000,31,2,2,30,7,4809,2621,0,0
24,2,4,1,1,30000,28,1,30,15,16,12266,2000,1,0
20,2,4,1,3,30000,44,4,14,18,28,4403,2587,0,1
18,2,3,1,3,30000,36,1,26,6,9,6342,2051,0,0
23,2,2,1,2,30000,22,4,13,27,33,12896,2331,1,0
21,2,8,1,3,30000,37,1,30,19,23,4180,2658,1,0
25,1,3,1,2,30000,18,1,23,24,8,14142,2835,1,1
20,1,7,1,4,30000,51,1,1,5,1,4665,2264,1,0
18,1,6,1,2,30000,4,2,11,21,19,12285,2737,1,1
23,2,6,1,2,30000,20,4,28,26,30,5461,2800,1,0
24,2,8,1,4,30000,48,2,22,10,19,8331,1923,1,0
19,1,8,1,1,30000,28,3,23,18,19,13796,2769,1,1
21,1,5,1,3,30000,19,3,25,24,11,11682,2122,0,0
19,1,1,1,1,30000,6,1,4,29,19,12821,2583,0,0
19,1,7,1,3,30000,19,3,21,19,9,8992,2464,0,1
26,2,4,1,1,30000,53,3,25,22,29,9507,2383,0,1
22,2,8,1,2,30000,41,2,6,33,34,10086,1878,1,0
24,1,5,1,3,30000,4,3,29,21,13,6117,1908,1,1
19,1,1,1,3,30000,1,2,10,7,31,11876,2496,0,1
26,2,3,1,3,30000,35,3,9,22,21,14536,2843,1,1
21,1,2,1,1,30000,8,1,31,15,6,8542,2143,1,1
19,2,7,1,4,30000,39,3,22,26,25,5021,2223,1,0
24,1,5,1,3,30000,15,3,21,22,20,4509,2633,0,0
23,1,6,1,1,30000,29,1,15,8,18,5832,2575,0,1
26,2,4,1,2,30000,16,4,25,14,32,11031,2665,1,0
25,1,1,1,1,30000,48,3,33,13,10,13177,1944,1,1
20,2,8,1,4,30000,56,4,27,5,20,3034,1934,1,1
19,2,8,1,2,30000,25,1,1,16,28,11051,2540,0,1
18,2,4,1,1,30000,45,2,6,5,23,8469,2957,1,1
26,2,6,1,4,30000,46,3,18,26,29,8295,2213,1,1
21,2,5,1,3,30000,12,3,19,30,20,6111,2395,0,1
20,2,3,1,2,30000,13,3,25,31,19,7122,2176,0,0
24,1,3,1,4,30000,9,2,11,31,23,3796,2706,1,0
22,1,7,1,1,30000,14,4,30,30,2,10775,1814,1,0
18,1,7,1,3,30000,9,3,1,6,4,8780,2098,1,1
21,1,3,1,4,30000,39,2,29,26,30,6333,2817,1,1
22,1,4,1,2,30000,28,2,16,22,15,3742,2256,0,0
23,1,1,1,4,30000,26,4,9,9,22,8025,2334,1,1
25,1,1,1,2,30000,16,4,22,6,27,14639,2761,1,1
25,2,7,1,1,30000,37,2,15,29,14,10889,2148,0,0
19,1,2,1,3,30000,4,3,17,29,16,9289,2058,1,1
26,1,6,1,1,30000,1,3,31,18,33,9532,2137,1,1
21,1,2,1,4,30000,51,3,21,20,5,3171,2797,0,0
21,1,7,1,1,30000,36,1,19,33,11,8487,2416,0,0
23,2,1,1,4,30000,33,2,4,1,16,11083,1877,0,0
24,2,6,1,3,30000,46,4,6,16,16,10223,2043,0,0
26,1,3,1,4,30000,30,3,1,23,19,13683,2384,0,0
25,2,4,1,4,30000,14,3,9,25,6,11560,2756,0,1
25,1,4,1,3,30000,11,2,8,30,17,3546,2308,0,1
18,2,3,1,1,30000,2,4,33,21,8,10495,2070,0,1
21,2,5,1,2,30000,43,1,23,21,5,3238,2800,1,1
18,1,3,1,4,30000,37,4,31,21,10,8389,2270,1,1
23,2,7,1,3,30000,42,1,24,9,2,14143,2157,0,1
25,1,4,1,3,30000,8,3,22,13,6,14666,2816,0,0
19,1,7,1,1,30000,40,4,31,4,11,13947,2607,0,1
20,1,1,1,4,30000,38,1,12,14,2,8489,1817,1,1
18,2,1,1,2,30000,29,1,2,18,16,4863,2153,1,0
18,2,6,1,1,30000,36,4,1,9,16,8782,2811,1,1
19,2,5,1,2,30000,12,1,11,17,18,7528,2584,1,1
20,1,5,1,2,30000,29,3,28,10,33,14128,2594,1,0
25,1,5,1,3,30000,24,3,19,2,7,3606,2907,1,0
24,1,1,1,1,30000,17,4,6,31,23,4627,2358,1,0
24,1,8,1,2,30000,49,2,17,23,17,13909,2134,1,0
21,1,8,1,2,30000,8,1,20,12,20,5256,2661,0,0
18,1,5,1,3,30000,52,1,3,15,15,12109,2673,1,1
25,1,2,1,1,30000,42,2,12,29,34,11321,2153,1,0
18,2,6,1,3,30000,17,3,22,8,26,10959,1950,0,0
19,1,4,1,4,30000,2,4,17,15,6,11724,2122,1,0
25,1,6,1,3,30000,15,1,31,32,18,14301,1862,0,1
22,2,6,1,1,30000,28,3,32,7,16,6993,2594,1,1
23,1,2,1,3,30000,56,2,3,29,9,7041,2288,1,1
24,1,3,1,4,30000,48,3,8,23,21,7855,2167,0,1
24,1,8,1,3,30000,28,1,24,3,8,14361,2056,0,1
22,2,1,1,1,30000,1,4,13,10,8,9720,2464,1,0
20,1,4,1,2,30000,18,1,26,9,31,10330,2386,0,1
23,1,6,1,4,30000,50,3,25,2,6,13076,1895,1,1
23,1,7,1,2,30000,21,4,23,10,32,9831,2507,0,0
25,1,1,1,3,30000,12,3,9,18,8,10795,2737,0,1
19,2,6,1,3,30000,36,3,9,33,19,5274,2111,1,0
25,2,3,1,3,30000,41,4,12,31,10,10342,2772,1,1
22,1,8,1,3,30000,27,1,1,3,15,6297,2207,0,1
18,2,7,1,2,30000,28,3,18,30,32,12430,2293,0,1
19,2,8,1,3,30000,34,4,22,19,17,14063,2223,1,0
25,1,5,1,3,30000,40,2,32,23,18,13236,2923,0,0
24,1,1,1,3,30000,30,4,22,32,20,11492,1942,1,0
24,2,8,1,4,30000,8,4,17,23,21,4766,2034,1,0
24,2,3,1,2,30000,48,2,11,9,31,14756,2827,1,1
19,2,5,1,3,30000,20,2,25,18,9,14914,2684,0,1
23,2,2,1,4,30000,10,4,7,17,7,10597,1805,0,1
19,2,6,1,1,30000,32,3,29,33,8,11172,2331,1,1
21,1,6,1,2,30000,54,1,12,8,25,10060,1900,0,1
19,1,1,1,1,30000,32,3,1,16,31,11895,2360,1,0
20,1,1,1,4,30000,34,2,3,28,6,8299,2114,0,1
18,2,8,1,2,30000,34,3,1,20,7,9119,2637,0,1
25,1,4,1,2,30000,12,3,32,30,2,7127,1912,1,1
25,1,1,1,4,30000,3,3,17,2,24,10247,2907,0,1
26,1,4,1,1,30000,46,2,27,6,20,10957,2748,0,1
26,2,7,1,1,30000,34,1,28,27,19,8048,2431,0,1
23,2,7,1,3,30000,11,3,14,26,10,12827,2144,0,1
19,1,3,1,1,30000,35,3,17,13,15,4296,2187,0,0
24,1,7,1,4,30000,3,4,4,22,15,7581,2781,1,1
21,2,1,1,4,30000,26,1,24,16,12,10350,2759,1,1
19,2,6,1,1,30000,54,1,4,4,30,5861,2582,0,1
25,1,7,1,2,30000,31,2,18,28,1,14943,2027,1,0
19,2,8,1,2,30000,1,4,31,12,1,13163,2446,0,1
26,1,2,1,1,30000,18,1,6,23,32,14027,2510,0,0
21,2,6,1,1,30000,31,2,31,4,25,5241,2878,0,0
19,2,4,1,2,30000,32,3,19,29,6,9910,2233,0,1
26,2,1,1,2,30000,31,3,18,4,15,13350,2054,1,0
19,1,1,1,4,30000,43,2,27,17,28,6851,2505,1,0
18,1,1,1,4,30000,51,1,19,14,21,11319,2502,1,0
20,2,2,1,1,30000,56,1,3,23,16,11878,2914,0,0
19,2,4,1,3,30000,42,1,2,32,22,14378,2726,1,1
25,2,1,1,2,30000,25,2,17,20,4,5365,1888,1,0
23,1,2,1,3,30000,18,1,14,10,14,9954,2957,0,0
24,2,7,1,1,30000,53,3,15,31,6,7672,2979,0,0
24,1,4,1,4,30000,40,2,24,1,20,9324,1875,1,1
26,2,6,1,3,30000,47,4,18,31,5,6913,2979,1,1
25,2,7,1,3,30000,40,3,10,2,12,10797,2617,1,0
20,1,5,1,4,30000,41,3,17,24,14,11015,2950,0,1
25,2,2,1,1,30000,18,4,9,31,30,14576,2936,1,0
21,2,2,1,1,30000,18,2,16,6,28,5474,2253,0,1
24,2,8,1,2,30000,47,1,17,25,22,9943,2047,1,0
22,1,3,1,2,30000,7,1,29,24,19,4951,2739,0,1
19,2,2,1,3,30000,3,1,4,18,8,3521,2781,1,0
24,2,5,1,3,30000,47,3,19,18,12,14087,2228,1,0
26,1,5,1,1,30000,28,2,1,6,23,3131,2296,0,0
23,1,4,1,4,30000,12,3,19,14,25,12910,2271,0,0
23,2,2,1,1,30000,56,2,1,11,30,10977,2807,0,0
25,2,6,1,3,30000,19,1,27,4,27,12145,1973,1,0
18,2,3,1,3,30000,53,3,13,17,11,3082,2027,0,1
21,2,6,1,4,30000,49,3,21,5,19,7358,2516,0,1
22,1,4,1,3,30000,32,1,24,27,25,8182,2642,0,1
19,2,3,1,1,30000,6,2,29,25,18,12565,2088,1,1
20,2,7,1,1,30000,45,4,10,8,3,6780,2403,1,1
24,2,3,1,4,30000,26,4,14,23,27,13762,2377,1,1
20,2,4,1,1,30000,54,1,7,7,14,11220,2974,1,0
21,2,3,1,1,30000,38,1,5,33,11,3901,2482,1,1
20,1,5,1,3,30000,12,2,14,15,10,13491,1816,1,1
21,1,3,1,1,30000,30,1,24,21,5,5965,2301,0,1
26,2,6,1,4,30000,8,4,31,7,3,14394,2953,1,0
26,2,3,1,3,30000,12,1,33,27,34,6428,2454,1,1
22,1,8,1,3,30000,11,1,5,11,10,8228,2971,1,1
25,1,6,1,4,30000,49,2,13,2,4,5031,2762,1,0
18,1,7,1,4,30000,26,2,9,20,30,4140,2832,0,1
23,2,1,1,3,30000,22,2,9,23,20,14290,2864,0,1
24,1,6,1,2,30000,15,4,17,17,25,3583,2116,0,1
22,2,7,1,3,30000,46,3,14,18,9,10385,1826,1,0
18,1,1,1,2,30000,39,2,12,6,14,8395,2456,1,0
19,1,2,1,2,30000,49,1,9,11,12,8033,1960,1,0
19,2,6,1,3,30000,49,1,10,32,6,12479,2571,0,1
22,2,2,1,2,30000,35,2,22,21,34,9976,2698,0,0
25,1,6,1,4,30000,56,4,12,21,32,7525,2782,0,0
22,1,2,1,1,30000,35,4,11,3,1,13777,2680,1,0
24,1,7,1,4,30000,16,4,29,29,5,5098,2944,0,1
19,2,6,1,4,30000,51,3,2,10,27,8554,2933,1,0
24,2,6,1,1,30000,33,1,11,24,17,4078,2054,0,0
20,2,4,1,3,30000,36,2,21,32,14,7920,2295,0,0
18,2,6,1,2,30000,39,1,7,21,17,11047,2450,1,1
18,2,8,1,2,30000,15,3,20,11,1,14620,2378,1,1
25,2,2,1,1,30000,13,3,14,1,24,9025,2430,1,1
26,2,8,1,2,30000,22,1,3,24,30,4393,1971,0,1
25,1,1,1,4,30000,6,2,18,10,18,8515,2376,0,1
25,1,6,1,4,30000,50,1,27,20,28,4032,2772,1,1
18,2,1,1,2,30000,44,1,33,29,29,14077,2953,0,0
24,1,7,1,2,30000,13,2,33,18,19,10120,2607,1,1
24,2,6,1,4,30000,39,2,19,24,28,10264,2572,1,1
26,2,2,1,2,30000,54,4,24,9,14,7748,2655,0,1
18,1,6,1,4,30000,32,2,19,32,3,11145,2815,1,0
19,1,8,1,4,30000,38,4,14,12,26,11615,2583,0,1
18,2,7,1,2,30000,34,2,3,4,1,9882,2988,1,1
23,2,4,1,3,30000,51,1,2,17,33,10375,2777,0,0
26,2,3,1,3,30000,6,4,10,29,25,3804,2438,0,1
18,2,6,1,4,30000,15,3,31,14,11,14501,2810,1,1
24,1,4,1,1,30000,38,4,23,32,23,6288,2843,0,1
25,1,5,1,1,30000,7,4,22,27,10,13503,2241,0,1
24,1,7,1,3,30000,19,2,19,24,19,5206,2899,1,1
20,1,7,1,2,30000,36,1,27,5,27,9979,2660,1,0
20,2,5,1,4,30000,44,1,8,2,29,6986,2181,0,1
25,1,4,1,4,30000,48,2,19,6,21,14949,2783,0,0
20,1,4,1,1,30000,31,1,10,20,13,5725,2434,0,0
21,2,3,1,3,30000,13,1,2,27,11,6376,2328,1,1
26,1,2,1,1,30000,4,4,10,27,4,11421,1929,0,1
22,1,5,1,1,30000,44,4,22,5,10,7714,2581,1,1
21,2,4,1,1,30000,45,3,25,12,11,3214,2834,1,1
25,2,5,1,3,30000,52,2,32,33,34,3938,2834,1,1
26,2,1,1,2,30000,6,2,9,22,10,13121,2527,1,0
20,2,2,1,1,30000,36,3,28,1,8,10146,2057,0,0
21,1,6,1,4,30000,36,3,21,19,11,6554,2195,1,0
21,1,7,1,4,30000,54,4,27,32,19,3268,2566,1,1
18,2,2,1,3,30000,6,4,1,16,21,6232,2813,1,1
22,1,2,1,3,30000,3,1,14,12,5,10615,2777,1,1
19,1,1,1,2,30000,50,4,16,30,33,6293,2816,0,0
20,1,2,1,2,30000,26,1,29,15,14,13540,2286,1,0
21,2,1,1,4,30000,7,1,30,12,19,10093,2048,1,0
20,1,8,1,2,30000,15,3,13,30,11,9378,2965,1,1
26,1,2,1,4,30000,45,4,15,31,10,7068,2050,1,1
18,1,5,1,1,30000,42,1,12,4,6,14899,2135,1,1
25,2,5,1,3,30000,39,1,22,5,25,13923,2910,0,1
24,2,3,1,2,30000,55,4,2,28,11,3208,2042,0,1
24,2,8,1,1,30000,28,1,31,30,29,13210,2491,0,0
23,1,1,1,2,30000,15,2,17,16,14,12920,2491,0,1
24,2,6,1,3,30000,39,2,2,10,10,10276,2795,1,0
19,2,5,1,2,30000,52,2,3,13,27,11531,2547,1,1
25,2,7,1,4,30000,22,2,5,31,11,11437,2876,1,0
19,2,3,1,1,30000,37,3,30,31,20,11516,2016,0,0
26,2,8,1,4,30000,11,2,17,9,4,4180,2106,1,1
23,1,7,1,2,30000,42,3,11,7,12,5165,2855,1,1
19,2,4,1,1,30000,11,1,22,22,14,6168,2548,1,0
20,2,1,1,4,30000,28,4,7,22,21,4881,2833,0,0
21,1,2,1,4,30000,52,4,26,19,13,12137,2759,0,0
22,2,6,1,2,30000,41,1,26,19,18,9839,2126,0,0
18,2,2,1,4,30000,3,2,11,16,12,6326,2337,0,0
26,1,6,1,2,30000,41,1,21,11,21,5636,2131,0,0
24,2,8,1,4,30000,46,2,25,3,8,13576,2896,0,1
26,1,7,1,4,30000,10,1,20,16,6,12641,2623,0,1
23,1,7,1,1,30000,45,4,22,30,1,10586,2237,0,0
20,1,4,1,2,30000,20,4,9,15,1,14418,2332,0,1
23,1,4,1,1,30000,18,3,31,2,23,4344,2057,1,0
21,2,6,1,1,30000,17,3,31,24,31,12713,2755,0,1
26,2,8,1,4,30000,18,1,9,29,22,3494,2340,1,0
20,2,6,1,3,30000,10,4,10,28,9,4846,1923,0,1
21,2,1,1,4,30000,26,1,16,27,26,7495,2429,0,1
20,2,6,1,2,30000,46,2,7,32,19,6268,1814,1,0
18,2,3,1,4,30000,38,3,24,29,4,6111,2722,0,0
24,2,2,1,4,30000,51,4,26,27,6,5761,2731,1,0
22,1,4,1,1,30000,34,1,33,8,5,13308,2153,0,0
24,1,2,1,2,30000,28,3,22,10,6,7781,2584,0,0
21,2,6,1,4,30000,50,1,6,23,3,11157,2008,1,0
18,1,6,1,2,30000,43,2,23,28,3,9544,2432,1,0
24,1,5,1,2,30000,14,1,3,20,14,14773,2111,1,0
18,2,6,1,4,30000,49,4,1,9,26,12470,2269,1,0
26,2,2,1,4,30000,18,4,13,1,32,3889,2957,1,0
18,2,2,1,3,30000,49,3,30,21,20,7997,2111,0,1
21,1,1,1,3,30000,40,2,14,20,12,10141,2850,1,1
20,1,4,1,1,30000,47,2,28,31,29,14330,2835,0,0
21,2,6,1,4,30000,12,2,28,26,23,10790,2487,0,0
26,1,6,1,4,30000,4,2,19,17,17,6587,2980,0,1
23,2,5,1,3,30000,1,2,32,9,26,14522,2053,1,1
21,1,5,1,3,30000,45,2,33,13,28,7765,2097,1,1
21,2,3,1,1,30000,10,2,33,19,20,10911,1912,1,0
21,1,2,1,4,30000,29,3,13,29,13,14861,2605,1,1
24,2,6,1,3,30000,51,2,6,17,22,7810,2795,0,0
25,2,7,1,4,30000,5,3,28,27,25,12341,2253,1,1
19,1,1,1,1,30000,23,3,29,21,9,11841,2582,0,0
22,1,7,1,4,30000,16,1,30,3,26,4589,1800,0,1
19,1,2,1,4,30000,49,3,1,22,7,10982,2175,0,0
19,2,1,1,3,30000,19,4,25,3,26,11844,2286,0,0
23,1,1,1,1,30000,5,2,8,19,7,14662,2544,0,1
26,2,8,1,1,30000,46,1,31,9,20,13132,1970,1,0
19,2,6,1,3,30000,10,2,13,8,14,9097,1809,0,0
25,2,8,1,3,30000,15,2,21,13,5,8667,2044,0,0
24,2,3,1,2,30000,8,3,1,13,20,10284,2541,0,1
21,2,8,1,1,30000,4,2,4,21,27,12526,2879,1,0
19,2,6,1,2,30000,26,2,33,32,6,14108,2621,0,1
23,2,7,1,4,30000,37,3,10,7,7,10214,1883,1,0
18,1,4,1,2,30000,27,1,32,26,18,7322,2480,0,0
24,2,2,1,1,30000,41,4,25,9,17,4284,2929,0,1
20,1,1,1,1,30000,21,3,1,28,1,3153,2136,1,1
18,2,1,1,2,30000,6,3,31,26,3,4330,2803,1,0
26,2,7,1,3,30000,53,2,26,2,33,8986,2642,0,0
18,1,5,1,2,30000,17,2,13,20,21,9475,2325,1,0
22,2,4,1,1,30000,28,4,1,10,22,12493,2849,1,1
22,2,3,1,3,30000,40,2,18,13,5,6413,2894,0,1
23,1,2,1,3,30000,37,3,6,3,31,6173,2811,0,0
23,2,3,1,1,30000,55,1,20,21,10,10186,1921,0,1
23,1,6,1,4,30000,18,1,16,27,18,7753,2734,1,1
24,2,2,1,4,30000,50,2,7,6,11,6964,2199,0,0
22,2,4,1,1,30000,12,3,26,4,18,13174,2246,1,0
25,2,7,1,3,30000,12,1,28,4,30,9544,2417,1,1
21,1,8,1,4,30000,18,1,19,29,20,8663,1962,0,1
19,1,8,1,3,30000,4,4,10,30,19,14138,2912,1,1
21,1,1,1,4,30000,31,3,4,8,9,3665,2908,0,0
18,2,3,1,4,30000,40,1,27,5,21,11931,1881,1,0
22,1,8,1,3,30000,35,3,2,13,29,7169,2055,1,1
20,2,8,1,4,30000,14,4,25,29,19,11952,2655,1,0
23,2,6,1,1,30000,26,3,32,20,8,12392,2731,0,0
25,2,2,1,4,30000,5,2,14,5,33,7941,2633,1,0
18,2,5,1,2,30000,1,3,1,32,26,5514,2590,1,1
18,1,4,1,4,30000,4,3,24,11,9,10238,2539,0,1
26,1,4,1,4,30000,18,2,1,3,8,14270,2773,0,1
22,1,7,1,1,30000,2,2,3,20,24,11248,2719,0,1
19,2,8,1,1,30000,42,3,14,28,32,6937,2892,0,0
22,1,7,1,2,30000,16,2,6,3,31,14099,2280,0,0
21,1,8,1,4,30000,4,1,9,9,23,7526,2634,1,0
20,1,4,1,3,30000,56,4,21,20,34,6984,2611,0,1
24,2,2,1,1,30000,5,1,25,9,2,4289,2282,1,0
22,1,8,1,1,30000,43,3,17,8,19,12953,2193,1,0
19,1,5,1,2,30000,45,3,27,32,29,5882,2243,1,1
24,2,6,1,2,30000,29,2,2,12,31,5991,2748,0,1
25,2,6,1,3,30000,7,2,2,13,20,10455,2526,0,1
19,2,1,1,4,30000,30,4,3,23,4,10173,1845,0,1
